,body,end,name,party,state,yrs
104,house,"january 3, 2019",adriano espaillat,democratic,"new york, district 13",0
105,house,"january 3, 2019",al green,democratic,"texas, district 9",12
106,house,"january 3, 2019",alan lowenthal,democratic,"california, district 47",4
107,house,"january 3, 2019",albio sires,democratic,"new jersey, district 8",4
108,house,"january 3, 2019",alcee l. hastings,democratic,"florida, district 20",24
109,house,"january 3, 2019",alexander mooney,republican,"west virginia, district 2",2
110,house,"january 3, 2019",alfred lawson,democratic,"florida, district 5",0
111,house,"january 3, 2019",alma adams,democratic,"north carolina, district 12",3
112,house,"january 3, 2019",ami bera,democratic,"california, district 7",4
113,house,"january 3, 2019",andre carson,democratic,"indiana, district 7",9
114,house,"january 3, 2019",andy harris,republican,"maryland, district 1",6
115,house,"january 3, 2019",andy barr,republican,"kentucky, district 6",4
116,house,"january 3, 2019",andy biggs,republican,"arizona, district 5",0
117,house,"january 3, 2019",ann wagner,republican,"missouri, district 2",4
118,house,"january 3, 2019",anna eshoo,democratic,"california, district 18",24
119,house,"january 3, 2019",annie kuster,democratic,"new hampshire, district 2",4
120,house,"january 3, 2019",anthony g. brown,democratic,"maryland, district 4",0
121,house,"january 3, 2019",austin scott,republican,"georgia, district 8",6
122,house,"january 3, 2019",barbara comstock,republican,"virginia, district 10",2
123,house,"january 3, 2019",barbara lee,democratic,"california, district 13",18
124,house,"january 3, 2019",barry loudermilk,republican,"georgia, district 11",2
125,house,"january 3, 2019",ben ray lujan,democratic,"new mexico, district 3",8
126,house,"january 3, 2019",bennie thompson,democratic,"mississippi, district 2",6
127,house,"january 3, 2019",beto o'rourke,democratic,"texas, district 16",4
128,house,"january 3, 2019",betty mccollum,democratic,"minnesota, district 4",8
129,house,"january 3, 2019",bill flores,republican,"texas, district 17",6
130,house,"january 3, 2019",bill foster,democratic,"illinois, district 11",4
131,house,"january 3, 2019",bill huizenga,republican,"michigan, district 2",6
132,house,"january 3, 2019",bill johnson,republican,"ohio, district 6",6
133,house,"january 3, 2019",bill keating,democratic,"massachusetts, district 9",6
134,house,"january 3, 2019",bill pascrell,democratic,"new jersey, district 9",4
135,house,"january 3, 2019",bill posey,republican,"florida, district 8",8
136,house,"january 3, 2019",bill shuster,republican,"pennsylvania, district 9",16
137,house,"january 3, 2019",billy long,republican,"missouri, district 7",6
138,house,"january 3, 2019",blaine luetkemeyer,republican,"missouri, district 3",8
139,house,"january 3, 2019",blake farenthold,republican,"texas, district 27",6
140,house,"january 3, 2019",bob gibbs,republican,"ohio, district 7",6
141,house,"january 3, 2019",bob goodlatte,republican,"virginia, district 6",24
142,house,"january 3, 2019",robert e. latta,republican,"ohio, district 5",10
143,house,"january 3, 2019",bobby l. rush,democratic,"illinois, district 1",24
144,house,"january 3, 2019",bobby scott,democratic,"virginia, district 3",24
145,house,"january 3, 2019",bonnie watson coleman,democratic,"new jersey, district 12",2
146,house,"january 3, 2019",brad schneider,democratic,"illinois, district 10",0
147,house,"january 3, 2019",brad sherman,democratic,"california, district 30",20
148,house,"january 3, 2019",brad wenstrup,republican,"ohio, district 2",4
149,house,"january 3, 2019",bradley byrne,republican,"alabama, district 1",3
150,house,"january 3, 2019",brenda lawrence,democratic,"michigan, district 14",2
151,house,"january 3, 2019",brendan boyle,democratic,"pennsylvania, district 13",2
152,house,"january 3, 2019",brett guthrie,republican,"kentucky, district 2",8
153,house,"january 3, 2019",brian babin,republican,"texas, district 36",2
154,house,"january 3, 2019",brian fitzpatrick,republican,"pennsylvania, district 8",0
155,house,"january 3, 2019",brian higgins,democratic,"new york, district 26",12
156,house,"january 3, 2019",brian mast,republican,"florida, district 18",0
157,house,"january 3, 2019",bruce poliquin,republican,"maine, district 2",2
158,house,"january 3, 2019",bruce westerman,republican,"arkansas, district 4",2
159,house,"january 3, 2019",carlos curbelo,republican,"florida, district 26",2
160,house,"january 3, 2019",carol shea-porter,democratic,"new hampshire, district 1",0
161,house,"january 3, 2019",carolyn b. maloney,democratic,"new york, district 12",24
162,house,"january 3, 2019",cathy mcmorris rodgers,republican,"washington, district 5",12
163,house,"january 3, 2019",cedric richmond,democratic,"louisiana, district 2",6
164,house,"january 3, 2019",charles j. fleischmann,republican,"tennessee, district 3",6
165,house,"january 3, 2019",charlie crist,democratic,"florida, district 13",0
166,house,"january 3, 2019",charles w. dent,republican,"pennsylvania, district 15",12
167,house,"january 3, 2019",chellie pingree,democratic,"maine, district 1",8
168,house,"january 3, 2019",cheri bustos,democratic,"illinois, district 17",4
169,house,"january 3, 2019",chris collins,republican,"new york, district 27",4
170,house,"january 3, 2019",chris smith,republican,"new jersey, district 4",36
171,house,"january 3, 2019",chris stewart,republican,"utah, district 2",4
172,house,"january 3, 2019",claudia tenney,republican,"new york, district 22",0
